RID,SID,NAME,SCIENTNAME,FAOSTAT,FAO_Code,FAO_Code2,FAO_Code3,crop,food,fiber,fodder,forestry,industry,plant,comms
278,278,Vegetable marrow,Cucurbita pepo L.,TRUE,394,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
362,362,Umbrella pine,Pinus pinea L.,TRUE,234,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
368,368,Tarwi,Lupinus mutabilis Sweet,TRUE,210,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
369,369,Kiwifruit,Actinidia chinensis Planch.,TRUE,592,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
370,370,European hazelnut,Corylus avellana L.,TRUE,225,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
373,373,Durian,Durio zibethinus Murray,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
374,374,Tamarind,Tamarindus indica L.,TRUE,619,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
375,375,Longan,Dimocarpus longan Lour long,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
376,376,Souari nut,Caryocar nuciferum L.,TRUE,234,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
377,377,Pear,Pyrus communis L.,TRUE,521,542,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FAO_Code 542 isn't specific.
378,378,Sapodilla,Manilkara achras (Mill) Fos,TRUE,603,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
380,380,"Cherry, Sour",Prunus cerasus L.,TRUE,530,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
381,381,Red raspberry,Rubus idaeus L.,TRUE,547,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
382,382,Black raspberry,Rubus occidentalis L.,TRUE,547,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,""
