filename,SPAM_Code,Monf_Name,FAO_Name,FAO_Code,source,SPAM_Name,GROUP,Total_ha,Total_p,nonFiltered_ha,nonFiltered_p,nf_prop_ha,nf_prop_p
hemp,"",hemp,Hemp Tow Waste,777,Monf,"",Fiber,58748.7958151599,158058,43777.7458189446,110754,0.745168393862602,0.700717458148275
hempseed,"",hempseed,Hempseed,336,Monf,"",Oilcrops,26796.5961533694,282644,7180.68081580009,75350,0.267969885977372,0.266589773708269
hop,"",hop,Hops,677,Monf,"",OtherCrops,65672.150601212,304618,50030.1848795041,86899,0.761817367354204,0.285272045644053
jute,"",jute,Jute,780,Monf,"",Fiber,1410378.6188674,97941,1313356.20252415,55078,0.931208247880864,0.562358971217366
jutelikefiber,"",jutelikefiber,Other Bastfibres,782,Monf,"",Fiber,312936.997680328,256410,282829.037634024,171097,0.903789068504259,0.667278967278967
kapokfiber,"",kapokfiber,Kapok Fibre,778,Monf,"",Fiber,390085.153933005,145696,389597.077355785,27336,0.998748794789296,0.18762354491544
kapokseed,"",kapokseed,Kapokseed in Shell,311,Monf,"",Fiber,390085.153933005,185756,389597.077355785,27336,0.998748794789296,0.147160791576046
karite,"",karite,Karite Nuts (Sheanuts),263,Monf,"",Oilcrops,310527.175519819,295615,72055.029137969,11342,0.232040976823847,0.0383674712040999
kiwi,"",kiwi,Kiwi fruit,592,Monf,"",Fruit,54235.7639491397,105262,22212.0360151026,20087,0.409545923164874,0.19082859911459
kolanut,"",kolanut,Kolanuts,224,Monf,"",OtherCrops,375996.39338568,179964,199304.655715807,8043,0.530070658181474,0.0446922717876909
lemonlime,"",lemonlime,Lemons and limes,497,Monf,"",Fruit,717274.203653409,437712,368027.546423692,165005,0.513091847649278,0.37697161603977
lent,lent,"",lentils,201,SPAM,lentil,pulses,3945968.3069085,142190,3945968.3069085,142190,1,1
lettuce,"",lettuce,Lettuce and chicory,372,Monf,"",Vegetables&Melons,801318.332841125,406974,604992.809178661,188615,0.754996840061827,0.463457125025186
linseed,"",linseed,Linseed,333,Monf,"",Oilcrops,2794620.29896919,412621,1999358.47269498,186883,0.715431170893755,0.452916841362897
lupin,"",lupin,Lupins,210,Monf,"",Pulses,1285640.95486547,332052,1213531.30686151,83727,0.943911519206773,0.252150265621047
maiz,maiz,"",maize,56,SPAM,maize,cereals,151344326.985361,561780,151344326.985406,561780,1.0000000000003,1
mango,"",mango,"Mangoes, mangosteens, guavas",571,Monf,"",Fruit,3274016.63247184,433172,2523766.58724384,267580,0.770847210186111,0.617722290452753
mate,"",mate,mate,671,Monf,"",OtherCrops,249020.604191079,381446,219304.759098123,5835,0.880669131016346,0.0152970538424836
melonetc,"",melonetc,Other melons (inc.cantaloupes),568,Monf,"",Vegetables&Melons,1009498.01478548,447352,754735.482219846,239450,0.747634439261604,0.535260823691411
melonseed,"",melonseed,Melonseed,299,Monf,"",Oilcrops,581883.297628841,258807,132607.039387202,21407,0.227892843681151,0.0827141460625099
mixedgrain,"",mixedgrain,Mixed grain,103,Monf,"",Cereals,1812292.65080493,114762,1563814.20956404,36205,0.862892761204695,0.315478991303742
mustard,"",mustard,Mustard seed,292,Monf,"",Oilcrops,759682.735287446,389410,495095.23118952,124099,0.651713153652475,0.318684676818777
nutmeg,"",nutmeg,"Nutmeg, mace and cardamoms",702,Monf,"",OtherCrops,219669.036182754,145851,50733.9079001667,38010,0.230956118266748,0.260608429150297
nutnes,"",nutnes,"Nuts, nes",234,Monf,"",Treenuts,417969.17310693,587861,192879.292690103,165112,0.461467747145932,0.280869117019159
oats,"",oats,Oats,75,Monf,"",Cereals,12953977.9817947,515672,10794323.6172696,374015,0.833282535483675,0.725296312384617
oilp,oilp,"",palmoil,254,SPAM,oilpalm,oilcrops,15594313.302211,42299,15594313.302211,42299,1,1
oilseednes,"",oilseednes,"Oilseeds, Nes",339,Monf,"",Oilcrops,1251177.75896995,227098,1106506.68887439,142899,0.884372089370683,0.629239359219368
okra,"",okra,Okra,430,Monf,"",Vegetables&Melons,690350.880906365,286314,296856.276158671,50453,0.430007818298033,0.17621562340647
olive,"",olive,Olives,260,Monf,"",Oilcrops,6790305.33328151,272993,6186262.09619157,39303,0.911043287828409,0.143970724524072
onion,"",onion,"Onions, dry",403,Monf,"",Vegetables&Melons,2680268.2982198,713649,1901274.2596176,422588,0.709359678984528,0.592151043440123
orange,"",orange,Oranges,490,Monf,"",Fruit,3543818.60049325,508491,2403451.96180777,265086,0.67820964692528,0.521318961397547
papaya,"",papaya,Papayas,600,Monf,"",Fruit,330105.885438172,369976,239041.277436401,157544,0.724135157781586,0.425822215495059
pea,"",pea,"Peas, dry",187,Monf,"",Pulses,6021544.03453345,522502,4832019.37606689,346925,0.802455208889173,0.66396875035885
peachetc,"",peachetc,Peaches and nectarines,534,Monf,"",Fruit,1237516.08960357,473013,879428.348545482,264918,0.710639931014716,0.56006494536091
pear,"",pear,Pears,521,Monf,"",Fruit,1569621.12680031,497608,1365100.52437298,264539,0.869700656460802,0.53162127618527
pepper,"",pepper,Pepper (Piper spp.),687,Monf,"",OtherCrops,403170.356225371,233938,344608.132287107,68520,0.854745709762631,0.29289811830485
peppermint,"",peppermint,Peppermint,748,Monf,"",OtherCrops,2666.61249782198,44001,2640.12380234152,1956,0.990066537413254,0.0444535351469285
persimmon,"",persimmon,Persimmons,587,Monf,"",Fruit,505401.315939846,193077,500986.691613043,79289,0.991265111135308,0.41065999575299
pige,pige,"",pigeon pea,197,SPAM,pigeonpea,pulses,4864259.8013087,42635,4864259.8013087,42635,1,1
pimento,"",pimento,"Chillies and peppers, dry",689,Monf,"",OtherCrops,1868943.62206423,410812,403991.849628151,119906,0.216160533072659,0.291875602465361
pineapple,"",pineapple,Pineapples,574,Monf,"",Fruit,715310.518507943,366073,587338.727259447,249863,0.821096170212301,0.682549655396601
pistachio,"",pistachio,Pistachios,223,Monf,"",Treenuts,391072.848384958,164890,352144.151625021,21122,0.900456661921933,0.128097519558494
plnt,plnt,"",plantain,489,SPAM,plantain,fruits,4007943.99976915,57613,4007943.99976915,57613,1,1
plum,"",plum,Plums and sloes,536,Monf,"",Fruit,2052206.96192898,517369,1867864.91060168,260159,0.910173752088814,0.502849996810787
pmil,pmil,"",millet,79,SPAM,pearl millet,cereals,26318402.9070833,142367,26318402.9070833,142367,1,1
popcorn,"",popcorn,Popcorn,68,Monf,"",Cereals,8.34706302552168e-14,567296,0,0,0,0
poppy,"",poppy,Poppy seed,296,Monf,"",Oilcrops,112368.433368577,303395,100722.209740537,28165,0.896356803428603,0.0928327757543796
pota,pota,"",potato,116,SPAM,potato,roots&tubers or starchy roots,18608067.599335,417999,18608067.599335,417999,1,1
pulsenes,"",pulsenes,"pulsenes, nes Pulses",211,Monf,"",Pulses,4227833.02092087,508522,1863965.17481966,322282,0.44087956302817,0.633762157782751
pumpkinetc,"",pumpkinetc,"Pumpkins, squash and gourds",394,Monf,"",Vegetables&Melons,1295232.54502225,490543,832879.467657583,278498,0.643034697405074,0.567734123206324
pyrethrum,"",pyrethrum,"Pyrethrum,Dried",754,Monf,"",OtherCrops,23113.435643884,28648,13290.1154408222,13840,0.574995238509204,0.483105277855348
quince,"",quince,Quinces,523,Monf,"",Fruit,47883.6311971885,362754,36336.2125633461,107815,0.758844132219439,0.297212435975896
quinoa,"",quinoa,Quinoa,92,Monf,"",Cereals,66511.4737312967,385073,4.58275712840259,20,6.89017529053216e-05,5.19382039249701e-05
ramie,"",ramie,Ramie,788,Monf,"",Fiber,102716.708051959,252046,3995.53687977139,6687,0.0388986072037109,0.0265308713488808
rapeseed,"",rapeseed,Rapeseed,270,Monf,"",Oilcrops,23935890.2873766,476497,23445017.6738477,348001,0.979492193202949,0.730331985301062
rasberry,"",rasberry,Raspberries,547,Monf,"",Fruit,79297.8777980347,410688,64211.4448358836,108854,0.809749852315404,0.265052789465482
rcof,rcof,"",coffee,656,SPAM,robusta coffee,stimulant,4267726.70005824,75331,4267726.70005824,75331,1,1
rice,rice,"",rice,27,SPAM,rice,cereals,113831515.08268,308565,113831515.082708,308565,1.00000000000024,1
rootnes,"",rootnes,"Roots and Tubers, nes",149,Monf,"",Roots&Tubers,852740.928893103,290202,269462.328891696,88162,0.31599553834184,0.303795287420486
rubber,"",rubber,Natural rubber,836,Monf,"",OtherCrops,7463483.99838979,391848,6772044.13121797,93031,0.907356957243963,0.237416038872216
rye,"",rye,Rye,71,Monf,"",Cereals,9269557.88393668,404660,9109470.63434238,294824,0.982729785864791,0.728572134631543
safflower,"",safflower,Safflower seed,280,Monf,"",Oilcrops,848833.479621836,321043,603341.007457485,110870,0.710788419568794,0.345343147179661
sesa,sesa,"",sesame seed,289,SPAM,sesameseed,oilcrops,8005424.19681236,164314,8005424.19681236,164314,1,1
sisal,"",sisal,Sisal,789,Monf,"",Fiber,341658.850351537,301021,201268.407064672,53779,0.589091741243009,0.178655309762442
smil,smil,"",millet,79,SPAM,small millet,cereals,4147469.9034804,141500,4147469.9034804,141500,1,1
sorg,sorg,"",sorghum,83,SPAM,sorghum,cereals,39260950.6068412,341751,39260950.6068412,341751,1,1
sourcherry,"",sourcherry,Sour cherries,530,Monf,"",Fruit,234547.985887352,427291,210440.987361564,114092,0.897219332604434,0.267012410745838
soyb,soyb,"",soybean,236,SPAM,soybean,oilcrops,97906830.5879225,345296,97906830.5879321,345296,1.0000000000001,1
spicenes,"",spicenes,"Spices, nes",723,Monf,"",OtherCrops,1158637.15046808,326368,91038.9753780393,80862,0.0785741898067575,0.24776326110403
spinach,"",spinach,Spinach,373,Monf,"",Vegetables&Melons,638798.789507487,284232,603787.98343653,158370,0.94519274825497,0.55718567930423
stonefruitnes,"",stonefruitnes,"Stone fruit, nes",541,Monf,"",Fruit,63282.1906922247,319435,26970.0599995917,73707,0.426187205350737,0.23074177845258
strawberry,"",strawberry,Strawberries,544,Monf,"",Fruit,226639.45819107,573131,163753.17627313,178578,0.722527213840569,0.311583215704612
stringbean,"",stringbean,String beans,423,Monf,"",Vegetables&Melons,187679.80730965,226586,131677.897695889,80823,0.701609297150628,0.356699001703547
sugarnes,"",sugarnes,"Sugar crops, nes",161,Monf,"",SugarCrops,110879.887908647,209219,88486.0689655589,23032,0.798035339271464,0.110085604079935
sugb,sugb,"",sugarbeet,157,SPAM,sugarbeet,sugar crops,4682821.10137408,122589,4682821.10137408,122589,1,1
sugc,sugc,"",sugar cane,156,SPAM,sugarcane,sugar crops,24219660.9901256,153132,24219660.9901256,153132,1,1
sunf,sunf,"",sunflower seed,267,SPAM,sunflower,oilcrops,24195081.0037259,277717,24195081.0037259,277717,1,1
swpo,swpo,"",sweet potato,122,SPAM,sweet potato,roots&tubers or starchy roots,7765573.29998046,234003,7765573.29998046,234003,1,1
tangetc,"",tangetc,"Tangerines, mandarins, clem.",495,Monf,"",Fruit,1633315.90389901,450931,367408.496568201,107278,0.224946377912034,0.237903359937551
taro,"",taro,Taro (cocoyam),136,Monf,"",Roots&Tubers,1380195.11290342,192901,1262407.34118683,62969,0.91465860832617,0.326431692940939
teas,teas,"",tea,667,SPAM,tea,stimulant,3197546.09930269,45814,3197546.09930269,45814,1,1
toba,toba,"",tobacco leaves,826,SPAM,tobacco,stimulant,4028251.09936071,169786,4028251.09936071,169786,1,1
tomato,"",tomato,Tomatoes,388,Monf,"",Vegetables&Melons,3634019.62291713,732338,2584605.45218714,519322,0.711224957589085,0.709128844877639
