crop,Monf_Name,source,SPAM_Name,SPAM_Code,FAO_Name,FAO_Code,GROUP
fruitnes,fruitnes,Monf,temperate fruit,temf,Fresh Nes Fruit,619,Fruit
watermelon,watermelon,Monf,tropical fruit,trof,Watermelons,567,Vegetables&Melons
melonetc,melonetc,Monf,tropical fruit,trof,Other melons (inc.cantaloupes),568,Vegetables&Melons
fig,fig,Monf,tropical fruit,trof,Figs,569,Fruit
mango,mango,Monf,tropical fruit,trof,"Mangoes, mangosteens, guavas",571,Fruit
avocado,avocado,Monf,tropical fruit,trof,Avocados,572,Fruit
pineapple,pineapple,Monf,tropical fruit,trof,Pineapples,574,Fruit
date,date,Monf,tropical fruit,trof,Dates,577,Fruit
persimmon,persimmon,Monf,tropical fruit,trof,Persimmons,587,Fruit
cashewapple,cashewapple,Monf,tropical fruit,trof,Cashewapple,591,Fruit
papaya,papaya,Monf,tropical fruit,trof,Papayas,600,Fruit
tropicalnes,tropicalnes,Monf,tropical fruit,trof,"tropicalnes, tropical fresh nes Fruit",603,Fruit
cabbage,cabbage,Monf,vegetables,vege,Cabbages and other brassicas,358,Vegetables&Melons
artichoke,artichoke,Monf,vegetables,vege,Artichokes,366,Vegetables&Melons
asparagus,asparagus,Monf,vegetables,vege,Asparagus,367,Vegetables&Melons
lettuce,lettuce,Monf,vegetables,vege,Lettuce and chicory,372,Vegetables&Melons
spinach,spinach,Monf,vegetables,vege,Spinach,373,Vegetables&Melons
tomato,tomato,Monf,vegetables,vege,Tomatoes,388,Vegetables&Melons
cauliflower,cauliflower,Monf,vegetables,vege,Cauliflowers and broccoli,393,Vegetables&Melons
pumpkinetc,pumpkinetc,Monf,vegetables,vege,"Pumpkins, squash and gourds",394,Vegetables&Melons
cucumberetc,cucumberetc,Monf,vegetables,vege,Cucumbers and gherkins,397,Vegetables&Melons
eggplant,eggplant,Monf,vegetables,vege,Eggplants (aubergines),399,Vegetables&Melons
chilleetc,chilleetc,Monf,vegetables,vege,"Chillies and peppers, green",401,Vegetables&Melons
greenonion,greenonion,Monf,vegetables,vege,"Onions (inc. shallots), green",402,Vegetables&Melons
onion,onion,Monf,vegetables,vege,"Onions, dry",403,Vegetables&Melons
garlic,garlic,Monf,vegetables,vege,Garlic,406,Vegetables&Melons
greenbean,greenbean,Monf,vegetables,vege,"Beans, green",414,Vegetables&Melons
greenpea,greenpea,Monf,vegetables,vege,"Peas, green",417,Vegetables&Melons
greenbroadbean,greenbroadbean,Monf,vegetables,vege,"Leguminous vegetables, nes",420,Vegetables&Melons
stringbean,stringbean,Monf,vegetables,vege,String beans,423,Vegetables&Melons
carrot,carrot,Monf,vegetables,vege,Carrots and turnips,426,Vegetables&Melons
okra,okra,Monf,vegetables,vege,Okra,430,Vegetables&Melons
greencorn,greencorn,Monf,vegetables,vege,"Maize, green",446,Vegetables&Melons
chicory,chicory,Monf,vegetables,vege,Chicory roots,459,Vegetables&Melons
carob,carob,Monf,vegetables,vege,Carobs,461,Vegetables&Melons
vegetablenes,vegetablenes,Monf,vegetables,vege,Vegetables fresh nes,463,Vegetables&Melons
